category,claude_code,openai_solo,smolagents_code,tool_calling,tool_calling_with_shortlisting
Action Execution Error,3.7777777777777777,3.501945525291829,4.4692737430167595,4.302670623145401,4.329004329004329
Authentication Handling Error,0.4444444444444444,1.1673151750972763,3.165735567970205,0.8902077151335311,0.7215007215007215
Batch Processing Coverage,0.2222222222222222,0.0,0.0,0.1483679525222552,0.0
Candidate Selection,0.6666666666666667,0.19455252918287938,0.0,0.0,0.0
Candidate Verification Failure,4.888888888888889,4.085603112840467,2.793296089385475,4.302670623145401,4.040404040404041
Confirmation Handling Error,1.5555555555555556,1.7509727626459144,2.2346368715083798,1.0385756676557862,1.1544011544011543
Constraint Interpretation Error,6.666666666666667,4.863813229571985,4.8417132216014895,5.637982195845697,5.483405483405483
Coverage Enumeration Omission,2.888888888888889,2.9182879377431905,1.86219739292365,2.8189910979228485,2.5974025974025974
Diagnostic Checklist Execution,0.2222222222222222,0.19455252918287938,0.0,0.2967359050445104,0.2886002886002886
Diagnostic Protocol Error,3.111111111111111,3.11284046692607,4.8417132216014895,4.599406528189911,4.473304473304474
Diagnostic Protocol Sequencing,0.0,0.19455252918287938,0.186219739292365,0.1483679525222552,0.1443001443001443
Entity Resolution Error,7.111111111111111,3.6964980544747084,4.8417132216014895,5.192878338278932,4.473304473304474
Escalation Handling,4.222222222222222,3.8910505836575875,6.33147113594041,5.786350148367952,5.627705627705628
Escalation Handoff Timing,0.2222222222222222,0.38910505836575876,0.186219739292365,0.1483679525222552,0.1443001443001443
Evidence Interpretation,0.4444444444444444,0.19455252918287938,0.186219739292365,0.0,0.0
Evidence Interpretation Error,3.111111111111111,3.6964980544747084,5.772811918063315,4.005934718100891,4.040404040404041
Evidence Retrieval Omission,6.222222222222222,5.447470817120623,6.145251396648044,9.198813056379821,8.658008658008658
Failure Recovery,0.0,0.19455252918287938,0.74487895716946,0.2967359050445104,0.4329004329004329
Finalization Protocol Error,1.7777777777777777,4.280155642023346,0.931098696461825,2.522255192878338,3.0303030303030303
Hard to Analyze,0.0,0.0,0.186219739292365,0.0,0.0
Instruction Following Error,0.6666666666666667,0.0,0.74487895716946,0.8902077151335311,0.8658008658008658
Looping Behavior,0.8888888888888888,0.19455252918287938,0.74487895716946,0.1483679525222552,0.1443001443001443
Numeric Evaluation,0.0,0.38910505836575876,0.0,0.0,0.0
Other,2.4444444444444446,3.11284046692607,1.303538175046555,1.9287833827893175,2.0202020202020203
Planning Error,0.4444444444444444,0.19455252918287938,0.931098696461825,1.3353115727002967,1.2987012987012987
Policy Eligibility Error,3.111111111111111,2.7237354085603114,2.0484171322160147,2.0771513353115725,2.0202020202020203
Policy Eligibility Reasoning,0.0,0.0,0.0,0.741839762611276,0.7215007215007215
Premature Termination,12.666666666666668,15.953307392996107,6.145251396648044,3.7091988130563793,5.05050505050505
Premature Workflow Termination,0.4444444444444444,0.7782101167315175,0.37243947858473,0.0,0.0
Quantitative Reasoning Error,4.444444444444445,2.140077821011673,2.97951582867784,3.7091988130563793,3.6075036075036073
Query Formulation Error,0.8888888888888888,1.3618677042801557,2.0484171322160147,2.8189910979228485,2.7417027417027415
Remediation Omission,1.5555555555555556,3.3073929961089497,1.86219739292365,3.2640949554896146,3.6075036075036073
Request Boundary Compliance,0.2222222222222222,0.19455252918287938,0.186219739292365,0.0,0.0
Required Action Execution,0.0,0.19455252918287938,0.186219739292365,0.2967359050445104,0.2886002886002886
Retrieval Coverage,0.0,0.38910505836575876,0.37243947858473,0.44510385756676557,0.7215007215007215
Search Query Planning,0.2222222222222222,0.19455252918287938,0.186219739292365,0.5934718100890208,0.5772005772005772
Search Recovery & Adaptation,5.555555555555555,4.863813229571985,9.869646182495345,5.934718100890208,5.772005772005772
State/Goal Tracking Error,0.4444444444444444,0.7782101167315175,1.1173184357541899,0.2967359050445104,0.4329004329004329
Submission Finalization,0.2222222222222222,0.38910505836575876,0.186219739292365,0.2967359050445104,0.2886002886002886
Temporal Constraint Handling,0.2222222222222222,0.0,0.0,0.1483679525222552,0.1443001443001443
Tool Invocation,0.2222222222222222,0.0,0.186219739292365,0.2967359050445104,0.1443001443001443
Tool Invocation Error,4.666666666666667,6.614785992217899,5.58659217877095,6.528189910979229,5.483405483405483
Transaction Reconciliation,0.2222222222222222,0.0,0.0,0.1483679525222552,0.1443001443001443
Unauthorized Action Execution,1.1111111111111112,2.9182879377431905,1.303538175046555,2.522255192878338,3.6075036075036073
Unauthorized State Mutation,0.0,0.19455252918287938,0.0,0.0,0.2886002886002886
Unsupported Fabrication,6.222222222222222,3.501945525291829,5.58659217877095,6.528189910979229,6.782106782106783
Unsupported Inference,0.2222222222222222,0.19455252918287938,0.186219739292365,0.2967359050445104,0.4329004329004329
User Communication Error,0.8888888888888888,0.9727626459143969,1.303538175046555,0.44510385756676557,0.2886002886002886
Validation Error Repair,0.2222222222222222,0.0,0.5586592178770949,0.1483679525222552,0.0
Validation Recovery Failure,4.222222222222222,4.669260700389105,4.0968342644320295,2.967359050445104,2.7417027417027415
Verification Handling,0.0,0.0,0.186219739292365,0.1483679525222552,0.1443001443001443
