category,openai_Azure_DeepSeek-V3.2,openai_Azure_Kimi-K2.5,openai_Azure_gpt-5.2-2025-12-11,openai_aws_claude-opus-4-5,openai_gcp_gemini-3-pro-preview
Action Execution Error,3.2303370786516856,6.412213740458015,3.115264797507788,2.8795811518324608,4.612159329140461
Authentication Handling Error,0.5617977528089888,1.2213740458015268,2.959501557632399,0.7853403141361256,0.41928721174004197
Batch Processing Coverage,0.2808988764044944,0.0,0.0,0.0,0.0
Candidate Selection,0.2808988764044944,0.0,0.1557632398753894,0.2617801047120419,0.0
Candidate Verification Failure,2.387640449438202,4.427480916030534,2.64797507788162,7.329842931937172,5.031446540880504
Confirmation Handling Error,0.5617977528089888,0.3053435114503817,2.803738317757009,0.7853403141361256,3.3542976939203357
Constraint Interpretation Error,7.584269662921349,4.732824427480916,5.29595015576324,4.712041884816754,4.1928721174004195
Coverage Enumeration Omission,1.9662921348314606,4.2748091603053435,1.4018691588785046,1.5706806282722512,3.7735849056603774
Diagnostic Checklist Execution,0.1404494382022472,0.3053435114503817,0.46728971962616817,0.0,0.0
Diagnostic Protocol Error,3.2303370786516856,2.900763358778626,6.074766355140187,6.282722513089005,2.7253668763102725
Diagnostic Protocol Sequencing,0.1404494382022472,0.45801526717557256,0.0,0.0,0.0
Entity Resolution Error,4.634831460674158,4.732824427480916,4.361370716510903,6.282722513089005,5.660377358490567
Escalation Handling,2.387640449438202,3.6641221374045805,9.968847352024921,6.282722513089005,4.612159329140461
Escalation Handoff Timing,0.1404494382022472,0.0,0.6230529595015576,0.0,0.20964360587002098
Evidence Interpretation,0.1404494382022472,0.3053435114503817,0.0,0.0,0.20964360587002098
Evidence Interpretation Error,4.634831460674158,3.6641221374045805,5.607476635514018,3.664921465968586,2.515723270440252
Evidence Retrieval Omission,7.724719101123595,7.022900763358779,5.919003115264798,7.068062827225131,9.433962264150944
Failure Recovery,0.1404494382022472,0.9160305343511451,0.1557632398753894,0.0,0.41928721174004197
Finalization Protocol Error,1.8258426966292134,3.969465648854962,0.9345794392523363,3.4031413612565444,3.1446540880503147
Hard to Analyze,0.0,0.15267175572519084,0.0,0.0,0.0
Instruction Following Error,0.1404494382022472,0.6106870229007634,0.9345794392523363,0.5235602094240838,1.257861635220126
Looping Behavior,0.0,0.3053435114503817,0.6230529595015576,0.2617801047120419,0.8385744234800839
Numeric Evaluation,0.0,0.15267175572519084,0.1557632398753894,0.0,0.0
Other,2.247191011235955,1.5267175572519083,1.8691588785046727,2.356020942408377,2.9350104821802936
Planning Error,0.7022471910112359,0.45801526717557256,1.557632398753894,1.5706806282722512,0.41928721174004197
Policy Eligibility Error,1.6853932584269662,1.0687022900763359,3.4267912772585665,3.4031413612565444,2.7253668763102725
Policy Eligibility Reasoning,0.8426966292134831,0.0,0.3115264797507788,0.5235602094240838,0.0
Premature Termination,10.955056179775282,5.9541984732824424,11.370716510903426,4.18848167539267,5.450733752620545
Premature Workflow Termination,0.0,0.15267175572519084,0.46728971962616817,0.2617801047120419,0.628930817610063
Quantitative Reasoning Error,3.932584269662921,2.4427480916030535,4.361370716510903,4.18848167539267,1.8867924528301887
Query Formulation Error,1.6853932584269662,2.4427480916030535,2.0249221183800623,2.6178010471204187,1.8867924528301887
Remediation Omission,2.6685393258426964,1.5267175572519083,2.4922118380062304,5.7591623036649215,2.9350104821802936
Request Boundary Compliance,0.1404494382022472,0.0,0.0,0.0,0.41928721174004197
Required Action Execution,0.0,0.0,0.0,1.3089005235602094,0.20964360587002098
Retrieval Coverage,0.0,0.7633587786259541,0.46728971962616817,1.0471204188481675,0.0
Search Query Planning,0.2808988764044944,0.0,0.778816199376947,1.0471204188481675,0.0
Search Recovery & Adaptation,9.97191011235955,6.564885496183207,4.672897196261682,2.8795811518324608,5.870020964360587
State/Goal Tracking Error,0.2808988764044944,0.6106870229007634,1.0903426791277258,0.7853403141361256,0.20964360587002098
Submission Finalization,0.1404494382022472,0.6106870229007634,0.0,0.0,0.628930817610063
Temporal Constraint Handling,0.1404494382022472,0.0,0.0,0.0,0.41928721174004197
Tool Invocation,0.2808988764044944,0.3053435114503817,0.0,0.0,0.20964360587002098
Tool Invocation Error,6.03932584269663,9.31297709923664,3.4267912772585665,4.973821989528796,4.612159329140461
Transaction Reconciliation,0.0,0.15267175572519084,0.0,0.0,0.41928721174004197
Unauthorized Action Execution,4.49438202247191,1.6793893129770994,1.557632398753894,0.7853403141361256,2.7253668763102725
Unauthorized State Mutation,0.0,0.15267175572519084,0.0,0.0,0.41928721174004197
Unsupported Fabrication,4.353932584269663,9.16030534351145,1.7133956386292832,6.806282722513089,8.176100628930817
Unsupported Inference,0.8426966292134831,0.0,0.0,0.0,0.41928721174004197
User Communication Error,0.5617977528089888,0.45801526717557256,0.46728971962616817,0.2617801047120419,2.0964360587002098
Validation Error Repair,0.1404494382022472,0.3053435114503817,0.3115264797507788,0.0,0.0
Validation Recovery Failure,5.477528089887641,3.816793893129771,3.2710280373831773,3.1413612565445024,1.4675052410901468
Verification Handling,0.0,0.0,0.1557632398753894,0.0,0.41928721174004197
